DEPARTAMENTO,PROVINCIA,SEXO,rango_edad,mes_fallecimiento,cantidad_fallecidos,nivel_intensidad
AMAZONAS,BAGUA,FEMENINO,30-44,6,1,BAJO
AMAZONAS,BAGUA,FEMENINO,30-44,7,1,BAJO
AMAZONAS,BAGUA,FEMENINO,45-59,6,2,MEDIO
AMAZONAS,BAGUA,FEMENINO,45-59,7,1,BAJO
AMAZONAS,BAGUA,FEMENINO,60-74,6,7,ALTO
AMAZONAS,BAGUA,FEMENINO,60-74,7,5,ALTO
AMAZONAS,BAGUA,FEMENINO,75+,6,1,BAJO
AMAZONAS,BAGUA,FEMENINO,75+,7,3,MEDIO
AMAZONAS,BAGUA,MASCULINO,30-44,6,1,BAJO
AMAZONAS,BAGUA,MASCULINO,30-44,7,1,BAJO
AMAZONAS,BAGUA,MASCULINO,45-59,5,3,MEDIO
AMAZONAS,BAGUA,MASCULINO,45-59,6,3,MEDIO
AMAZONAS,BAGUA,MASCULINO,45-59,7,4,ALTO
AMAZONAS,BAGUA,MASCULINO,45-59,8,2,MEDIO
AMAZONAS,BAGUA,MASCULINO,60-74,5,1,BAJO
AMAZONAS,BAGUA,MASCULINO,60-74,6,12,ALTO
AMAZONAS,BAGUA,MASCULINO,60-74,7,12,ALTO
AMAZONAS,BAGUA,MASCULINO,60-74,8,2,MEDIO
AMAZONAS,BAGUA,MASCULINO,75+,5,1,BAJO
AMAZONAS,BAGUA,MASCULINO,75+,6,10,ALTO
AMAZONAS,BAGUA,MASCULINO,75+,7,14,ALTO
AMAZONAS,BAGUA,MASCULINO,75+,8,1,BAJO
AMAZONAS,BONGARA,MASCULINO,45-59,7,1,BAJO
AMAZONAS,BONGARA,MASCULINO,60-74,7,1,BAJO
AMAZONAS,BONGARA,MASCULINO,60-74,8,1,BAJO
AMAZONAS,BONGARA,MASCULINO,75+,8,1,BAJO
AMAZONAS,CHACHAPOYAS,FEMENINO,45-59,8,1,BAJO
AMAZONAS,CHACHAPOYAS,MASCULINO,45-59,8,1,BAJO
AMAZONAS,CHACHAPOYAS,MASCULINO,60-74,7,1,BAJO
AMAZONAS,CHACHAPOYAS,MASCULINO,60-74,8,2,MEDIO
AMAZONAS,CHACHAPOYAS,MASCULINO,75+,7,1,BAJO
AMAZONAS,CONDORCANQUI,FEMENINO,30-44,5,1,BAJO
AMAZONAS,CONDORCANQUI,FEMENINO,45-59,5,1,BAJO
AMAZONAS,CONDORCANQUI,MASCULINO,18-29,6,1,BAJO
AMAZONAS,CONDORCANQUI,MASCULINO,30-44,6,2,MEDIO
AMAZONAS,CONDORCANQUI,MASCULINO,30-44,7,1,BAJO
AMAZONAS,CONDORCANQUI,MASCULINO,45-59,7,1,BAJO
AMAZONAS,CONDORCANQUI,MASCULINO,60-74,6,4,ALTO
AMAZONAS,CONDORCANQUI,MASCULINO,60-74,7,5,ALTO
AMAZONAS,CONDORCANQUI,MASCULINO,75+,6,3,MEDIO
AMAZONAS,CONDORCANQUI,MASCULINO,75+,7,2,MEDIO
AMAZONAS,LUYA,FEMENINO,60-74,7,1,BAJO
AMAZONAS,LUYA,MASCULINO,18-29,5,1,BAJO
AMAZONAS,LUYA,MASCULINO,45-59,7,1,BAJO
AMAZONAS,LUYA,MASCULINO,60-74,5,1,BAJO
AMAZONAS,LUYA,MASCULINO,60-74,7,1,BAJO
AMAZONAS,LUYA,MASCULINO,75+,6,1,BAJO
AMAZONAS,NO REGISTRADO,MASCULINO,45-59,5,1,BAJO
